cutoff,target,horizon,model,mape
2025-04-07 00:00:00,generator_1,1,persistence,0.03310945160332308
2025-04-07 00:00:00,generator_1,1,ema,0.03852700403444829
2025-04-07 00:00:00,generator_1,1,seasonal,0.14565490119127134
2025-04-07 00:00:00,generator_1,1,lgb_residual,0.030845123371452756
2025-04-07 00:00:00,generator_1,1,cat_residual,0.03139332509989196
2025-04-07 00:00:00,generator_1,2,persistence,0.04485340570327737
2025-04-07 00:00:00,generator_1,2,ema,0.04785078715585669
2025-04-07 00:00:00,generator_1,2,seasonal,0.14505465853024882
2025-04-07 00:00:00,generator_1,2,lgb_residual,0.04262890991879457
2025-04-07 00:00:00,generator_1,2,cat_residual,0.042952689498250145
2025-04-07 00:00:00,generator_1,3,persistence,0.052547123524338324
2025-04-07 00:00:00,generator_1,3,ema,0.055865271108729804
2025-04-07 00:00:00,generator_1,3,seasonal,0.14447356638984277
2025-04-07 00:00:00,generator_1,3,lgb_residual,0.05109656710890522
2025-04-07 00:00:00,generator_1,3,cat_residual,0.050799704089927435
2025-04-07 00:00:00,generator_1,4,persistence,0.05927319090905214
2025-04-07 00:00:00,generator_1,4,ema,0.06280309043616315
2025-04-07 00:00:00,generator_1,4,seasonal,0.14455305553451936
2025-04-07 00:00:00,generator_1,4,lgb_residual,0.05750360381637643
2025-04-07 00:00:00,generator_1,4,cat_residual,0.05813219101282938
2025-04-07 00:00:00,generator_1,5,persistence,0.06716897373178321
2025-04-07 00:00:00,generator_1,5,ema,0.06934985854170884
2025-04-07 00:00:00,generator_1,5,seasonal,0.14420989138381987
2025-04-07 00:00:00,generator_1,5,lgb_residual,0.06335640157340779
2025-04-07 00:00:00,generator_1,5,cat_residual,0.06376690357415267
2025-04-07 00:00:00,generator_1,6,persistence,0.07246045195360273
2025-04-07 00:00:00,generator_1,6,ema,0.0754278184474018
2025-04-07 00:00:00,generator_1,6,seasonal,0.14387871100136335
2025-04-07 00:00:00,generator_1,6,lgb_residual,0.06767510043595924
2025-04-07 00:00:00,generator_1,6,cat_residual,0.06904011176253465
2025-04-07 00:00:00,generator_1,7,persistence,0.08053477884660447
2025-04-07 00:00:00,generator_1,7,ema,0.08107908267571595
2025-04-07 00:00:00,generator_1,7,seasonal,0.14328558023639384
2025-04-07 00:00:00,generator_1,7,lgb_residual,0.07299044398168465
2025-04-07 00:00:00,generator_1,7,cat_residual,0.07350183483156937
2025-04-07 00:00:00,generator_1,8,persistence,0.08412705457590008
2025-04-07 00:00:00,generator_1,8,ema,0.0855465101801152
2025-04-07 00:00:00,generator_1,8,seasonal,0.1429992043606189
2025-04-07 00:00:00,generator_1,8,lgb_residual,0.07705853508550432
2025-04-07 00:00:00,generator_1,8,cat_residual,0.07832938437715913
2025-04-07 00:00:00,generator_1,16,persistence,0.12035358674650472
2025-04-07 00:00:00,generator_1,16,ema,0.12153037788386667
2025-04-07 00:00:00,generator_1,16,seasonal,0.14373544028969817
2025-04-07 00:00:00,generator_1,16,lgb_residual,0.09866786389556041
2025-04-07 00:00:00,generator_1,16,cat_residual,0.10123513829547663
2025-04-07 00:00:00,generator_1,24,persistence,0.1426092353780015
2025-04-07 00:00:00,generator_1,24,ema,0.14387765736028144
2025-04-07 00:00:00,generator_1,24,seasonal,0.14459643537411682
2025-04-07 00:00:00,generator_1,24,lgb_residual,0.10615783858678589
2025-04-07 00:00:00,generator_1,24,cat_residual,0.10346392983887633
2025-04-07 00:00:00,generator_1,48,persistence,0.1802356122509107
2025-04-07 00:00:00,generator_1,48,ema,0.1755939646476122
2025-04-07 00:00:00,generator_1,48,seasonal,0.15258070149495628
2025-04-07 00:00:00,generator_1,48,lgb_residual,0.157580259011927
2025-04-07 00:00:00,generator_1,48,cat_residual,0.14879077868428198
2025-04-07 00:00:00,generator_1,96,persistence,0.14746790413566058
2025-04-07 00:00:00,generator_1,96,ema,0.1413411713291617
2025-04-07 00:00:00,generator_1,96,seasonal,0.14746790413566058
2025-04-07 00:00:00,generator_1,96,lgb_residual,0.1813189780508581
2025-04-07 00:00:00,generator_1,96,cat_residual,0.16298825432800199
2025-04-07 00:00:00,generator_all,1,persistence,0.0230770669618922
2025-04-07 00:00:00,generator_all,1,ema,0.03854594564316802
2025-04-07 00:00:00,generator_all,1,seasonal,0.1344467336063281
2025-04-07 00:00:00,generator_all,1,lgb_residual,0.02081530458466418
2025-04-07 00:00:00,generator_all,1,cat_residual,0.02091136871679596
2025-04-07 00:00:00,generator_all,2,persistence,0.03959906255389822
2025-04-07 00:00:00,generator_all,2,ema,0.05134993124535402
2025-04-07 00:00:00,generator_all,2,seasonal,0.1334260062918566
2025-04-07 00:00:00,generator_all,2,lgb_residual,0.03665437411888667
2025-04-07 00:00:00,generator_all,2,cat_residual,0.03648048364444168
2025-04-07 00:00:00,generator_all,3,persistence,0.0531174393775008
2025-04-07 00:00:00,generator_all,3,ema,0.06252884848561725
2025-04-07 00:00:00,generator_all,3,seasonal,0.13229658220422677
2025-04-07 00:00:00,generator_all,3,lgb_residual,0.048723266075146314
2025-04-07 00:00:00,generator_all,3,cat_residual,0.04890998083526199
2025-04-07 00:00:00,generator_all,4,persistence,0.06445145371913501
2025-04-07 00:00:00,generator_all,4,ema,0.07177924305251861
2025-04-07 00:00:00,generator_all,4,seasonal,0.13148866857051478
2025-04-07 00:00:00,generator_all,4,lgb_residual,0.059809864901313736
2025-04-07 00:00:00,generator_all,4,cat_residual,0.059741054141806575
2025-04-07 00:00:00,generator_all,5,persistence,0.07475106980289567
2025-04-07 00:00:00,generator_all,5,ema,0.07914659266908257
2025-04-07 00:00:00,generator_all,5,seasonal,0.13091323493627258
2025-04-07 00:00:00,generator_all,5,lgb_residual,0.06956730452935293
2025-04-07 00:00:00,generator_all,5,cat_residual,0.06846565607267482
2025-04-07 00:00:00,generator_all,6,persistence,0.08236674278396303
2025-04-07 00:00:00,generator_all,6,ema,0.085676875387267
2025-04-07 00:00:00,generator_all,6,seasonal,0.13034944076667715
2025-04-07 00:00:00,generator_all,6,lgb_residual,0.07478239215293134
2025-04-07 00:00:00,generator_all,6,cat_residual,0.07492625302291477
2025-04-07 00:00:00,generator_all,7,persistence,0.0880229652324236
2025-04-07 00:00:00,generator_all,7,ema,0.09021963850604121
2025-04-07 00:00:00,generator_all,7,seasonal,0.1299264486239908
2025-04-07 00:00:00,generator_all,7,lgb_residual,0.07599476904827046
2025-04-07 00:00:00,generator_all,7,cat_residual,0.0770422529796491
2025-04-07 00:00:00,generator_all,8,persistence,0.09265858297568723
2025-04-07 00:00:00,generator_all,8,ema,0.09369901982439015
2025-04-07 00:00:00,generator_all,8,seasonal,0.12986544078214632
2025-04-07 00:00:00,generator_all,8,lgb_residual,0.07911535989539077
2025-04-07 00:00:00,generator_all,8,cat_residual,0.07818563281815981
2025-04-07 00:00:00,generator_all,16,persistence,0.10437720785663951
2025-04-07 00:00:00,generator_all,16,ema,0.10012777056122706
2025-04-07 00:00:00,generator_all,16,seasonal,0.13447928362977915
2025-04-07 00:00:00,generator_all,16,lgb_residual,0.08390354771639662
2025-04-07 00:00:00,generator_all,16,cat_residual,0.08812517916661262
2025-04-07 00:00:00,generator_all,24,persistence,0.10795664496293485
2025-04-07 00:00:00,generator_all,24,ema,0.10642157259385798
2025-04-07 00:00:00,generator_all,24,seasonal,0.13690327479416423
2025-04-07 00:00:00,generator_all,24,lgb_residual,0.09312745963523199
2025-04-07 00:00:00,generator_all,24,cat_residual,0.09020196358681963
2025-04-07 00:00:00,generator_all,48,persistence,0.12289579132203404
2025-04-07 00:00:00,generator_all,48,ema,0.11765494722968213
2025-04-07 00:00:00,generator_all,48,seasonal,0.12744467307179805
2025-04-07 00:00:00,generator_all,48,lgb_residual,0.09710465478286996
2025-04-07 00:00:00,generator_all,48,cat_residual,0.09219327166129898
2025-04-07 00:00:00,generator_all,96,persistence,0.12060921308831896
2025-04-07 00:00:00,generator_all,96,ema,0.11862583106363593
2025-04-07 00:00:00,generator_all,96,seasonal,0.12060921308831896
2025-04-07 00:00:00,generator_all,96,lgb_residual,0.11572751300758018
2025-04-07 00:00:00,generator_all,96,cat_residual,0.11182647571726516
2025-04-18 00:00:00,generator_1,1,persistence,0.02401580692583923
2025-04-18 00:00:00,generator_1,1,ema,0.029922158802882917
2025-04-18 00:00:00,generator_1,1,seasonal,0.3800885964424989
2025-04-18 00:00:00,generator_1,1,lgb_residual,0.023922569836164486
2025-04-18 00:00:00,generator_1,1,cat_residual,0.024125872723667886
2025-04-18 00:00:00,generator_1,2,persistence,0.03474153368294345
2025-04-18 00:00:00,generator_1,2,ema,0.03902237762462346
