cutoff,period,target,model,mape
2025-04-07 00:00:00,long_sampled,generator_1,cat_residual,0.12900073036159815
2025-04-07 00:00:00,long_sampled,generator_1,ema,0.1455857928052305
2025-04-07 00:00:00,long_sampled,generator_1,lgb_residual,0.12922165284648507
2025-04-07 00:00:00,long_sampled,generator_1,persistence,0.14766658462776938
2025-04-07 00:00:00,long_sampled,generator_1,seasonal,0.14709512032360797
2025-04-07 00:00:00,long_sampled,generator_all,cat_residual,0.10490837957549093
2025-04-07 00:00:00,long_sampled,generator_all,ema,0.11070753036210078
2025-04-07 00:00:00,long_sampled,generator_all,lgb_residual,0.1066596040445368
2025-04-07 00:00:00,long_sampled,generator_all,persistence,0.11395971430748184
2025-04-07 00:00:00,long_sampled,generator_all,seasonal,0.1298591111460151
2025-04-07 00:00:00,short,generator_1,cat_residual,0.05816117425263343
2025-04-07 00:00:00,short,generator_1,ema,0.06455617782251746
2025-04-07 00:00:00,short,generator_1,lgb_residual,0.057488441050523864
2025-04-07 00:00:00,short,generator_1,persistence,0.06175930385598517
2025-04-07 00:00:00,short,generator_1,seasonal,0.14426369607850978
2025-04-07 00:00:00,short,generator_all,cat_residual,0.058488590228481685
2025-04-07 00:00:00,short,generator_all,ema,0.07161826185167985
2025-04-07 00:00:00,short,generator_all,lgb_residual,0.05910209711406604
2025-04-07 00:00:00,short,generator_all,persistence,0.06475554792592447
2025-04-07 00:00:00,short,generator_all,seasonal,0.13158906947275165
2025-04-18 00:00:00,long_sampled,generator_1,cat_residual,0.1584523363768553
2025-04-18 00:00:00,long_sampled,generator_1,ema,0.14720498177658026
2025-04-18 00:00:00,long_sampled,generator_1,lgb_residual,0.16624972875268668
2025-04-18 00:00:00,long_sampled,generator_1,persistence,0.14563790653741715
2025-04-18 00:00:00,long_sampled,generator_1,seasonal,0.3041294593206766
2025-04-18 00:00:00,long_sampled,generator_all,cat_residual,0.12904678163930255
2025-04-18 00:00:00,long_sampled,generator_all,ema,0.12617698829464735
2025-04-18 00:00:00,long_sampled,generator_all,lgb_residual,0.1313234529892548
2025-04-18 00:00:00,long_sampled,generator_all,persistence,0.1246979778151283
2025-04-18 00:00:00,long_sampled,generator_all,seasonal,0.18270510485601912
2025-04-18 00:00:00,short,generator_1,cat_residual,0.05076413336218759
2025-04-18 00:00:00,short,generator_1,ema,0.05562955996428179
2025-04-18 00:00:00,short,generator_1,lgb_residual,0.050499710221336015
2025-04-18 00:00:00,short,generator_1,persistence,0.05092398512781636
2025-04-18 00:00:00,short,generator_1,seasonal,0.377849776573989
2025-04-18 00:00:00,short,generator_all,cat_residual,0.029244576449210854
2025-04-18 00:00:00,short,generator_all,ema,0.03337363715935254
2025-04-18 00:00:00,short,generator_all,lgb_residual,0.029450471271273235
2025-04-18 00:00:00,short,generator_all,persistence,0.029981184083723626
2025-04-18 00:00:00,short,generator_all,seasonal,0.13969311906709198
2025-04-27 00:00:00,long_sampled,generator_1,cat_residual,0.1087321026051741
2025-04-27 00:00:00,long_sampled,generator_1,ema,0.11490043380730662
2025-04-27 00:00:00,long_sampled,generator_1,lgb_residual,0.10567551656425762
2025-04-27 00:00:00,long_sampled,generator_1,persistence,0.11835180787931229
2025-04-27 00:00:00,long_sampled,generator_1,seasonal,0.11878592624808612
2025-04-27 00:00:00,long_sampled,generator_1,selected_ensemble,0.11024433753579085
2025-04-27 00:00:00,long_sampled,generator_all,cat_residual,0.10640163237787696
2025-04-27 00:00:00,long_sampled,generator_all,ema,0.12323063518752947
2025-04-27 00:00:00,long_sampled,generator_all,lgb_residual,0.09742899380037691
2025-04-27 00:00:00,long_sampled,generator_all,persistence,0.12619842404992065
2025-04-27 00:00:00,long_sampled,generator_all,seasonal,0.13275401773823953
2025-04-27 00:00:00,long_sampled,generator_all,selected_ensemble,0.10984302936182051
2025-04-27 00:00:00,short,generator_1,cat_residual,0.05295002943837156
2025-04-27 00:00:00,short,generator_1,ema,0.05851649433449108
2025-04-27 00:00:00,short,generator_1,lgb_residual,0.053611075005303065
2025-04-27 00:00:00,short,generator_1,persistence,0.0575976346959139
2025-04-27 00:00:00,short,generator_1,seasonal,0.09166858174077802
2025-04-27 00:00:00,short,generator_1,selected_ensemble,0.053416298824193846
2025-04-27 00:00:00,short,generator_all,cat_residual,0.03533316341443331
2025-04-27 00:00:00,short,generator_all,ema,0.04462381004326223
2025-04-27 00:00:00,short,generator_all,lgb_residual,0.03450225589170426
2025-04-27 00:00:00,short,generator_all,persistence,0.04085444347446865
2025-04-27 00:00:00,short,generator_all,seasonal,0.09152907858203531
2025-04-27 00:00:00,short,generator_all,selected_ensemble,0.035282513767092266
