cutoff,period,target,model,mape
2025-04-07 00:00:00,long_sampled,generator_1,cat_residual,0.1269496619952673
2025-04-07 00:00:00,long_sampled,generator_1,ema,0.1455857928052305
2025-04-07 00:00:00,long_sampled,generator_1,lgb_residual,0.1305867442769722
2025-04-07 00:00:00,long_sampled,generator_1,persistence,0.14766658462776938
2025-04-07 00:00:00,long_sampled,generator_1,seasonal,0.14709512032360797
2025-04-07 00:00:00,long_sampled,generator_all,cat_residual,0.0955867225329991
2025-04-07 00:00:00,long_sampled,generator_all,ema,0.11070753036210078
2025-04-07 00:00:00,long_sampled,generator_all,lgb_residual,0.09746579378551969
2025-04-07 00:00:00,long_sampled,generator_all,persistence,0.11395971430748184
2025-04-07 00:00:00,long_sampled,generator_all,seasonal,0.1298591111460151
2025-04-07 00:00:00,short,generator_1,cat_residual,0.05758166200850902
2025-04-07 00:00:00,short,generator_1,ema,0.06455617782251746
2025-04-07 00:00:00,short,generator_1,lgb_residual,0.05706856394690515
2025-04-07 00:00:00,short,generator_1,persistence,0.06175930385598517
2025-04-07 00:00:00,short,generator_1,seasonal,0.14426369607850978
2025-04-07 00:00:00,short,generator_all,cat_residual,0.05808283527896309
2025-04-07 00:00:00,short,generator_all,ema,0.07161826185167985
2025-04-07 00:00:00,short,generator_all,lgb_residual,0.05818282941324455
2025-04-07 00:00:00,short,generator_all,persistence,0.06475554792592447
2025-04-07 00:00:00,short,generator_all,seasonal,0.13158906947275165
2025-04-18 00:00:00,long_sampled,generator_1,cat_residual,0.15909978492628646
2025-04-18 00:00:00,long_sampled,generator_1,ema,0.14720498177658026
2025-04-18 00:00:00,long_sampled,generator_1,lgb_residual,0.16701748926634255
2025-04-18 00:00:00,long_sampled,generator_1,persistence,0.14563790653741715
2025-04-18 00:00:00,long_sampled,generator_1,seasonal,0.3041294593206766
2025-04-18 00:00:00,long_sampled,generator_all,cat_residual,0.13130689290002362
2025-04-18 00:00:00,long_sampled,generator_all,ema,0.12617698829464735
2025-04-18 00:00:00,long_sampled,generator_all,lgb_residual,0.12759490487127625
2025-04-18 00:00:00,long_sampled,generator_all,persistence,0.1246979778151283
2025-04-18 00:00:00,long_sampled,generator_all,seasonal,0.18270510485601912
2025-04-18 00:00:00,short,generator_1,cat_residual,0.050399462244321555
2025-04-18 00:00:00,short,generator_1,ema,0.05562955996428179
2025-04-18 00:00:00,short,generator_1,lgb_residual,0.050339602492079305
2025-04-18 00:00:00,short,generator_1,persistence,0.05092398512781636
2025-04-18 00:00:00,short,generator_1,seasonal,0.377849776573989
2025-04-18 00:00:00,short,generator_all,cat_residual,0.028854065779968456
2025-04-18 00:00:00,short,generator_all,ema,0.03337363715935254
2025-04-18 00:00:00,short,generator_all,lgb_residual,0.02807254463077625
2025-04-18 00:00:00,short,generator_all,persistence,0.029981184083723626
2025-04-18 00:00:00,short,generator_all,seasonal,0.13969311906709198
2025-04-27 00:00:00,long_sampled,generator_1,cat_residual,0.10425107270314954
2025-04-27 00:00:00,long_sampled,generator_1,ema,0.11490043380730662
2025-04-27 00:00:00,long_sampled,generator_1,lgb_residual,0.09898474029651061
2025-04-27 00:00:00,long_sampled,generator_1,persistence,0.11835180787931229
2025-04-27 00:00:00,long_sampled,generator_1,seasonal,0.11878592624808612
2025-04-27 00:00:00,long_sampled,generator_1,selected_ensemble,0.106992679259712
2025-04-27 00:00:00,long_sampled,generator_all,cat_residual,0.1084366337252573
2025-04-27 00:00:00,long_sampled,generator_all,ema,0.12323063518752947
2025-04-27 00:00:00,long_sampled,generator_all,lgb_residual,0.09758504375377094
2025-04-27 00:00:00,long_sampled,generator_all,persistence,0.12619842404992065
2025-04-27 00:00:00,long_sampled,generator_all,seasonal,0.13275401773823953
2025-04-27 00:00:00,long_sampled,generator_all,selected_ensemble,0.10564416684537256
2025-04-27 00:00:00,short,generator_1,cat_residual,0.051437031458289206
2025-04-27 00:00:00,short,generator_1,ema,0.05851649433449108
2025-04-27 00:00:00,short,generator_1,lgb_residual,0.05061149749340149
2025-04-27 00:00:00,short,generator_1,persistence,0.0575976346959139
2025-04-27 00:00:00,short,generator_1,seasonal,0.09166858174077802
2025-04-27 00:00:00,short,generator_1,selected_ensemble,0.050800554871795224
2025-04-27 00:00:00,short,generator_all,cat_residual,0.03476470953307608
2025-04-27 00:00:00,short,generator_all,ema,0.04462381004326223
2025-04-27 00:00:00,short,generator_all,lgb_residual,0.03396841928286512
2025-04-27 00:00:00,short,generator_all,persistence,0.04085444347446865
2025-04-27 00:00:00,short,generator_all,seasonal,0.09152907858203531
2025-04-27 00:00:00,short,generator_all,selected_ensemble,0.03417064144732804
