candidate,period,target,model,mape
half_life_14d,long_sampled,generator_1,lgb_residual,0.12816297696832166
half_life_14d,long_sampled,generator_1,learned_mean,0.12862454054276282
half_life_14d,long_sampled,generator_1,cat_residual,0.13024128708039334
half_life_14d,long_sampled,generator_1,ema,0.14199257357358283
half_life_14d,long_sampled,generator_1,persistence,0.14330822788094233
half_life_14d,long_sampled,generator_1,seasonal,0.1914102986919195
half_life_14d,long_sampled,generator_all,learned_mean,0.1094970798475941
half_life_14d,long_sampled,generator_all,lgb_residual,0.1100674502492918
half_life_14d,long_sampled,generator_all,cat_residual,0.11018667979786823
half_life_14d,long_sampled,generator_all,ema,0.12400999170879629
half_life_14d,long_sampled,generator_all,persistence,0.12471792008862075
half_life_14d,long_sampled,generator_all,seasonal,0.1510237431474858
half_life_14d,short,generator_1,lgb_residual,0.051915782849337976
half_life_14d,short,generator_1,learned_mean,0.0520777540060898
half_life_14d,short,generator_1,cat_residual,0.05253548176966522
half_life_14d,short,generator_1,persistence,0.05676030789323847
half_life_14d,short,generator_1,ema,0.05956741070709678
half_life_14d,short,generator_1,seasonal,0.20459401813109226
half_life_14d,short,generator_all,learned_mean,0.03965265628365388
half_life_14d,short,generator_all,lgb_residual,0.039817397868296696
half_life_14d,short,generator_all,cat_residual,0.039883156142103825
half_life_14d,short,generator_all,persistence,0.04519705849470559
half_life_14d,short,generator_all,ema,0.049871903018098206
half_life_14d,short,generator_all,seasonal,0.12093708904062632
half_life_45d,long_sampled,generator_1,cat_residual,0.13198313352982202
half_life_45d,long_sampled,generator_1,learned_mean,0.1321920173123756
half_life_45d,long_sampled,generator_1,lgb_residual,0.1338393401459751
half_life_45d,long_sampled,generator_1,ema,0.14199257357358283
half_life_45d,long_sampled,generator_1,persistence,0.14330822788094233
half_life_45d,long_sampled,generator_1,seasonal,0.1914102986919195
half_life_45d,long_sampled,generator_all,learned_mean,0.10949784956574743
half_life_45d,long_sampled,generator_all,lgb_residual,0.10971730764154308
half_life_45d,long_sampled,generator_all,cat_residual,0.11038053801403462
half_life_45d,long_sampled,generator_all,ema,0.12400999170879629
half_life_45d,long_sampled,generator_all,persistence,0.12471792008862075
half_life_45d,long_sampled,generator_all,seasonal,0.1510237431474858
half_life_45d,short,generator_1,learned_mean,0.05313044378237355
half_life_45d,short,generator_1,lgb_residual,0.053195172676693804
half_life_45d,short,generator_1,cat_residual,0.05335204316826533
half_life_45d,short,generator_1,persistence,0.05676030789323847
half_life_45d,short,generator_1,ema,0.05956741070709678
half_life_45d,short,generator_1,seasonal,0.20459401813109226
half_life_45d,short,generator_all,lgb_residual,0.039719505166455414
half_life_45d,short,generator_all,learned_mean,0.03980105429956753
half_life_45d,short,generator_all,cat_residual,0.04017579180391374
half_life_45d,short,generator_all,persistence,0.04519705849470559
half_life_45d,short,generator_all,ema,0.049871903018098206
half_life_45d,short,generator_all,seasonal,0.12093708904062632
