cutoff,candidate,target,horizon,model,mape
2025-04-07 00:00:00,half_life_30d,generator_1,1,persistence,0.03310945160332308
2025-04-07 00:00:00,half_life_30d,generator_1,1,ema,0.03852700403444829
2025-04-07 00:00:00,half_life_30d,generator_1,1,seasonal,0.14565490119127134
2025-04-07 00:00:00,half_life_30d,generator_1,1,lgb_residual,0.031058851648140793
2025-04-07 00:00:00,half_life_30d,generator_1,1,cat_residual,0.030965594929580145
2025-04-07 00:00:00,half_life_30d,generator_1,1,learned_mean,0.03095611749304823
2025-04-07 00:00:00,half_life_30d,generator_1,2,persistence,0.04485340570327737
2025-04-07 00:00:00,half_life_30d,generator_1,2,ema,0.04785078715585669
2025-04-07 00:00:00,half_life_30d,generator_1,2,seasonal,0.14505465853024882
2025-04-07 00:00:00,half_life_30d,generator_1,2,lgb_residual,0.042693432310195865
2025-04-07 00:00:00,half_life_30d,generator_1,2,cat_residual,0.04282706903266115
2025-04-07 00:00:00,half_life_30d,generator_1,2,learned_mean,0.042681372126427086
2025-04-07 00:00:00,half_life_30d,generator_1,3,persistence,0.052547123524338324
2025-04-07 00:00:00,half_life_30d,generator_1,3,ema,0.055865271108729804
2025-04-07 00:00:00,half_life_30d,generator_1,3,seasonal,0.14447356638984277
2025-04-07 00:00:00,half_life_30d,generator_1,3,lgb_residual,0.050749561301836665
2025-04-07 00:00:00,half_life_30d,generator_1,3,cat_residual,0.05071455683243168
2025-04-07 00:00:00,half_life_30d,generator_1,3,learned_mean,0.05059374815440997
2025-04-07 00:00:00,half_life_30d,generator_1,4,persistence,0.05927319090905214
2025-04-07 00:00:00,half_life_30d,generator_1,4,ema,0.06280309043616315
2025-04-07 00:00:00,half_life_30d,generator_1,4,seasonal,0.14455305553451936
2025-04-07 00:00:00,half_life_30d,generator_1,4,lgb_residual,0.056447309240488984
2025-04-07 00:00:00,half_life_30d,generator_1,4,cat_residual,0.057108453409119596
2025-04-07 00:00:00,half_life_30d,generator_1,4,learned_mean,0.056624186770048934
2025-04-07 00:00:00,half_life_30d,generator_1,5,persistence,0.06716897373178321
2025-04-07 00:00:00,half_life_30d,generator_1,5,ema,0.06934985854170884
2025-04-07 00:00:00,half_life_30d,generator_1,5,seasonal,0.14420989138381987
2025-04-07 00:00:00,half_life_30d,generator_1,5,lgb_residual,0.06353121098896945
2025-04-07 00:00:00,half_life_30d,generator_1,5,cat_residual,0.06449517816949951
2025-04-07 00:00:00,half_life_30d,generator_1,5,learned_mean,0.06383124740209585
2025-04-07 00:00:00,half_life_30d,generator_1,6,persistence,0.07246045195360273
2025-04-07 00:00:00,half_life_30d,generator_1,6,ema,0.0754278184474018
2025-04-07 00:00:00,half_life_30d,generator_1,6,seasonal,0.14387871100136335
2025-04-07 00:00:00,half_life_30d,generator_1,6,lgb_residual,0.06612664981351417
2025-04-07 00:00:00,half_life_30d,generator_1,6,cat_residual,0.065509218469401
2025-04-07 00:00:00,half_life_30d,generator_1,6,learned_mean,0.06553204879232978
2025-04-07 00:00:00,half_life_30d,generator_1,7,persistence,0.08053477884660447
2025-04-07 00:00:00,half_life_30d,generator_1,7,ema,0.08107908267571595
2025-04-07 00:00:00,half_life_30d,generator_1,7,seasonal,0.14328558023639384
2025-04-07 00:00:00,half_life_30d,generator_1,7,lgb_residual,0.06950939892561674
2025-04-07 00:00:00,half_life_30d,generator_1,7,cat_residual,0.072530511450888
2025-04-07 00:00:00,half_life_30d,generator_1,7,learned_mean,0.0704497429389531
2025-04-07 00:00:00,half_life_30d,generator_1,8,persistence,0.08412705457590008
2025-04-07 00:00:00,half_life_30d,generator_1,8,ema,0.0855465101801152
2025-04-07 00:00:00,half_life_30d,generator_1,8,seasonal,0.1429992043606189
2025-04-07 00:00:00,half_life_30d,generator_1,8,lgb_residual,0.0764320973464785
2025-04-07 00:00:00,half_life_30d,generator_1,8,cat_residual,0.0765027137744911
2025-04-07 00:00:00,half_life_30d,generator_1,8,learned_mean,0.07612692944871768
2025-04-07 00:00:00,half_life_30d,generator_1,12,persistence,0.09887127016970972
2025-04-07 00:00:00,half_life_30d,generator_1,12,ema,0.10254910166476645
2025-04-07 00:00:00,half_life_30d,generator_1,12,seasonal,0.1444476248218951
2025-04-07 00:00:00,half_life_30d,generator_1,12,lgb_residual,0.08373601191710756
2025-04-07 00:00:00,half_life_30d,generator_1,12,cat_residual,0.08743014379524788
2025-04-07 00:00:00,half_life_30d,generator_1,12,learned_mean,0.08476527304205657
2025-04-07 00:00:00,half_life_30d,generator_1,16,persistence,0.12035358674650472
2025-04-07 00:00:00,half_life_30d,generator_1,16,ema,0.12153037788386667
2025-04-07 00:00:00,half_life_30d,generator_1,16,seasonal,0.14373544028969817
2025-04-07 00:00:00,half_life_30d,generator_1,16,lgb_residual,0.09291213485281684
2025-04-07 00:00:00,half_life_30d,generator_1,16,cat_residual,0.0994913794895113
2025-04-07 00:00:00,half_life_30d,generator_1,16,learned_mean,0.09501131954663673
2025-04-07 00:00:00,half_life_30d,generator_1,24,persistence,0.1426092353780015
2025-04-07 00:00:00,half_life_30d,generator_1,24,ema,0.14387765736028144
2025-04-07 00:00:00,half_life_30d,generator_1,24,seasonal,0.14459643537411682
2025-04-07 00:00:00,half_life_30d,generator_1,24,lgb_residual,0.10088497605274434
2025-04-07 00:00:00,half_life_30d,generator_1,24,cat_residual,0.09812777607713248
2025-04-07 00:00:00,half_life_30d,generator_1,24,learned_mean,0.09887882725102488
2025-04-07 00:00:00,half_life_30d,generator_1,32,persistence,0.1725868123043582
2025-04-07 00:00:00,half_life_30d,generator_1,32,ema,0.16988383947769992
2025-04-07 00:00:00,half_life_30d,generator_1,32,seasonal,0.14942779759172722
2025-04-07 00:00:00,half_life_30d,generator_1,32,lgb_residual,0.12104237147593792
2025-04-07 00:00:00,half_life_30d,generator_1,32,cat_residual,0.11407234064947207
2025-04-07 00:00:00,half_life_30d,generator_1,32,learned_mean,0.11703092785026442
2025-04-07 00:00:00,half_life_30d,generator_1,48,persistence,0.1802356122509107
2025-04-07 00:00:00,half_life_30d,generator_1,48,ema,0.1755939646476122
2025-04-07 00:00:00,half_life_30d,generator_1,48,seasonal,0.15258070149495628
2025-04-07 00:00:00,half_life_30d,generator_1,48,lgb_residual,0.16522653217384833
2025-04-07 00:00:00,half_life_30d,generator_1,48,cat_residual,0.1466624952551919
2025-04-07 00:00:00,half_life_30d,generator_1,48,learned_mean,0.1547832736388531
2025-04-07 00:00:00,half_life_30d,generator_1,64,persistence,0.19958586998274938
2025-04-07 00:00:00,half_life_30d,generator_1,64,ema,0.19588285807936898
2025-04-07 00:00:00,half_life_30d,generator_1,64,seasonal,0.15522641814234642
2025-04-07 00:00:00,half_life_30d,generator_1,64,lgb_residual,0.15623992524720923
2025-04-07 00:00:00,half_life_30d,generator_1,64,cat_residual,0.15215797776051052
2025-04-07 00:00:00,half_life_30d,generator_1,64,learned_mean,0.15382706175400734
2025-04-07 00:00:00,half_life_30d,generator_1,72,persistence,0.19873389876556413
2025-04-07 00:00:00,half_life_30d,generator_1,72,ema,0.19364798089186497
2025-04-07 00:00:00,half_life_30d,generator_1,72,seasonal,0.15290067752710687
2025-04-07 00:00:00,half_life_30d,generator_1,72,lgb_residual,0.14951514501256
2025-04-07 00:00:00,half_life_30d,generator_1,72,cat_residual,0.1575641779950597
2025-04-07 00:00:00,half_life_30d,generator_1,72,learned_mean,0.1532864685276416
2025-04-07 00:00:00,half_life_30d,generator_1,96,persistence,0.14746790413566058
2025-04-07 00:00:00,half_life_30d,generator_1,96,ema,0.1413411713291617
2025-04-07 00:00:00,half_life_30d,generator_1,96,seasonal,0.14746790413566058
2025-04-07 00:00:00,half_life_30d,generator_1,96,lgb_residual,0.1633233340284793
2025-04-07 00:00:00,half_life_30d,generator_1,96,cat_residual,0.16351699715923354
2025-04-07 00:00:00,half_life_30d,generator_1,96,learned_mean,0.1623611560653094
2025-04-07 00:00:00,half_life_30d,generator_all,1,persistence,0.0230770669618922
2025-04-07 00:00:00,half_life_30d,generator_all,1,ema,0.03854594564316802
2025-04-07 00:00:00,half_life_30d,generator_all,1,seasonal,0.1344467336063281
