candidate,period,target,model,mape
half_life_30d,long_sampled,generator_1,learned_mean,0.131603025808351
half_life_30d,long_sampled,generator_1,cat_residual,0.1319107513965637
half_life_30d,long_sampled,generator_1,lgb_residual,0.13217615439862399
half_life_30d,long_sampled,generator_1,ema,0.14199257357358283
half_life_30d,long_sampled,generator_1,persistence,0.14330822788094233
half_life_30d,long_sampled,generator_1,seasonal,0.1914102986919195
half_life_30d,long_sampled,generator_all,learned_mean,0.1094507660940381
half_life_30d,long_sampled,generator_all,lgb_residual,0.10989995088676119
half_life_30d,long_sampled,generator_all,cat_residual,0.11018227286704374
half_life_30d,long_sampled,generator_all,ema,0.12400999170879629
half_life_30d,long_sampled,generator_all,persistence,0.12471792008862075
half_life_30d,long_sampled,generator_all,seasonal,0.1510237431474858
half_life_30d,short,generator_1,lgb_residual,0.05267322131079532
half_life_30d,short,generator_1,learned_mean,0.05279645308145431
half_life_30d,short,generator_1,cat_residual,0.05313938523703993
half_life_30d,short,generator_1,persistence,0.05676030789323847
half_life_30d,short,generator_1,ema,0.05956741070709678
half_life_30d,short,generator_1,seasonal,0.20459401813109226
half_life_30d,short,generator_all,learned_mean,0.039658481014754145
half_life_30d,short,generator_all,lgb_residual,0.03966660447752788
half_life_30d,short,generator_all,cat_residual,0.03996000565327786
half_life_30d,short,generator_all,persistence,0.04519705849470559
half_life_30d,short,generator_all,ema,0.049871903018098206
half_life_30d,short,generator_all,seasonal,0.12093708904062632
