period,target,model,mape
long_sampled,generator_1,cat_residual,0.14578585436910074
long_sampled,generator_1,lgb_residual,0.15106268018270252
long_sampled,generator_1,shared_horizon_lgb,0.15285870288981546
long_sampled,generator_1,ema,0.15326328073391343
long_sampled,generator_1,persistence,0.15364178101622422
long_sampled,generator_1,seasonal,0.22719905445707841
long_sampled,generator_all,cat_residual,0.11297750810958146
long_sampled,generator_all,lgb_residual,0.11594239540705054
long_sampled,generator_all,shared_horizon_lgb,0.11635295025682911
long_sampled,generator_all,ema,0.12334759934650102
long_sampled,generator_all,persistence,0.12360875821227452
long_sampled,generator_all,seasonal,0.1593105616946089
short,generator_1,lgb_residual,0.05430471287105214
short,generator_1,cat_residual,0.05446498606547859
short,generator_1,persistence,0.056341644491900766
short,generator_1,ema,0.060092868893399626
short,generator_1,shared_horizon_lgb,0.08687613020909302
short,generator_1,seasonal,0.2610567363262494
short,generator_all,lgb_residual,0.0431276870220104
short,generator_all,cat_residual,0.04346845052946577
short,generator_all,persistence,0.04736836600482405
short,generator_all,ema,0.0524959495055162
short,generator_all,shared_horizon_lgb,0.06337576478011508
short,generator_all,seasonal,0.13564109426992182
