cutoff,period,target,model,mape
2025-04-07 00:00:00,long_sampled,generator_1,cat_residual,0.12842772416656856
2025-04-07 00:00:00,long_sampled,generator_1,ema,0.1555383689168278
2025-04-07 00:00:00,long_sampled,generator_1,lgb_residual,0.1342168611228733
2025-04-07 00:00:00,long_sampled,generator_1,persistence,0.15755552371668236
2025-04-07 00:00:00,long_sampled,generator_1,seasonal,0.14879787492218843
2025-04-07 00:00:00,long_sampled,generator_1,shared_horizon_lgb,0.12741478296042433
2025-04-07 00:00:00,long_sampled,generator_all,cat_residual,0.09364892667586501
2025-04-07 00:00:00,long_sampled,generator_all,ema,0.11597637096841912
2025-04-07 00:00:00,long_sampled,generator_all,lgb_residual,0.0969079358367726
2025-04-07 00:00:00,long_sampled,generator_all,persistence,0.11852328178066836
2025-04-07 00:00:00,long_sampled,generator_all,seasonal,0.1316010903326573
2025-04-07 00:00:00,long_sampled,generator_all,shared_horizon_lgb,0.09808615693219033
2025-04-07 00:00:00,short,generator_1,cat_residual,0.05848951803078934
2025-04-07 00:00:00,short,generator_1,ema,0.06455617782251746
2025-04-07 00:00:00,short,generator_1,lgb_residual,0.05789433566151062
2025-04-07 00:00:00,short,generator_1,persistence,0.06175930385598517
2025-04-07 00:00:00,short,generator_1,seasonal,0.14426369607850978
2025-04-07 00:00:00,short,generator_1,shared_horizon_lgb,0.0815359588273651
2025-04-07 00:00:00,short,generator_all,cat_residual,0.05808283527896309
2025-04-07 00:00:00,short,generator_all,ema,0.07161826185167985
2025-04-07 00:00:00,short,generator_all,lgb_residual,0.05818282941324455
2025-04-07 00:00:00,short,generator_all,persistence,0.06475554792592447
2025-04-07 00:00:00,short,generator_all,seasonal,0.13158906947275165
2025-04-07 00:00:00,short,generator_all,shared_horizon_lgb,0.06585433090019588
2025-04-18 00:00:00,long_sampled,generator_1,cat_residual,0.16314398457163293
2025-04-18 00:00:00,long_sampled,generator_1,ema,0.15098819255099907
2025-04-18 00:00:00,long_sampled,generator_1,lgb_residual,0.1679084992425318
2025-04-18 00:00:00,long_sampled,generator_1,persistence,0.1497280383157661
2025-04-18 00:00:00,long_sampled,generator_1,seasonal,0.3056002339919684
2025-04-18 00:00:00,long_sampled,generator_1,shared_horizon_lgb,0.1783026228192066
2025-04-18 00:00:00,long_sampled,generator_all,cat_residual,0.13230608954329792
2025-04-18 00:00:00,long_sampled,generator_all,ema,0.13071882772458293
2025-04-18 00:00:00,long_sampled,generator_all,lgb_residual,0.13497685497732848
2025-04-18 00:00:00,long_sampled,generator_all,persistence,0.1286942346438807
2025-04-18 00:00:00,long_sampled,generator_all,seasonal,0.18702003305656048
2025-04-18 00:00:00,long_sampled,generator_all,shared_horizon_lgb,0.1346197435814679
2025-04-18 00:00:00,short,generator_1,cat_residual,0.05044045410016783
2025-04-18 00:00:00,short,generator_1,ema,0.05562955996428179
2025-04-18 00:00:00,short,generator_1,lgb_residual,0.05071509008059365
2025-04-18 00:00:00,short,generator_1,persistence,0.05092398512781636
2025-04-18 00:00:00,short,generator_1,seasonal,0.377849776573989
2025-04-18 00:00:00,short,generator_1,shared_horizon_lgb,0.09221630159082092
2025-04-18 00:00:00,short,generator_all,cat_residual,0.028854065779968456
2025-04-18 00:00:00,short,generator_all,ema,0.03337363715935254
2025-04-18 00:00:00,short,generator_all,lgb_residual,0.02807254463077625
2025-04-18 00:00:00,short,generator_all,persistence,0.029981184083723626
2025-04-18 00:00:00,short,generator_all,seasonal,0.13969311906709198
2025-04-18 00:00:00,short,generator_all,shared_horizon_lgb,0.060897198660034305
