target,horizon,mape
generator_1,1,0.0282144890985814
generator_1,2,0.03915592884804698
generator_1,3,0.047696448152331816
generator_1,4,0.05419525261750097
generator_1,5,0.05697667951770556
generator_1,6,0.059855139492001004
generator_1,7,0.06013074414525114
generator_1,8,0.060546803349834914
generator_all,1,0.01583684494768141
generator_all,2,0.025317305741111608
generator_all,3,0.033851669581267355
generator_all,4,0.040147509815690846
generator_all,5,0.04386210129687635
generator_all,6,0.04610546802005771
generator_all,7,0.0465701016639803
generator_all,8,0.04588106038291827
