mode,target,horizon,block,mape
offset,generator_1,1,0,0.025666499910011353
offset,generator_1,2,0,0.038906816779218666
offset,generator_1,1,1,0.047487619025901796
offset,generator_1,2,1,0.07363511189832586
offset,generator_1,1,2,0.03177984625089375
offset,generator_1,2,2,0.04695110141175952
offset,generator_1,1,3,0.03567035240595914
offset,generator_1,2,3,0.0416962382904948
offset,generator_1,1,4,0.019713995752427646
offset,generator_1,2,4,0.025047606868650107
offset,generator_1,1,5,0.03212410063725014
offset,generator_1,2,5,0.04110982187238103
offset,generator_1,1,6,0.02277805855797624
offset,generator_1,2,6,0.03558294248120079
offset,generator_1,1,7,0.013706047894605593
offset,generator_1,2,7,0.016829529937294998
offset,generator_1,3,0,0.05772169635686847
offset,generator_1,4,0,0.0673645368983792
offset,generator_1,5,0,0.07711563245693935
offset,generator_1,6,0,0.08680823202731414
offset,generator_1,7,0,0.09424602790415139
offset,generator_1,8,0,0.09758956353074681
offset,generator_1,3,1,0.09167459646983007
offset,generator_1,4,1,0.11304104724147757
offset,generator_1,5,1,0.11631521707707622
offset,generator_1,6,1,0.1175776789436696
offset,generator_1,7,1,0.1124640570320079
offset,generator_1,8,1,0.10659080590954917
offset,generator_1,3,2,0.05961366775321145
offset,generator_1,4,2,0.06585401855844931
offset,generator_1,5,2,0.07354136505854524
offset,generator_1,6,2,0.08092116400874623
offset,generator_1,7,2,0.08339146618123194
offset,generator_1,8,2,0.08514518354322564
offset,generator_1,3,3,0.05282098637598324
offset,generator_1,4,3,0.057641692802818084
offset,generator_1,5,3,0.05599451636289732
offset,generator_1,6,3,0.056422066623117835
offset,generator_1,7,3,0.05233097330211108
offset,generator_1,8,3,0.04498101127067359
offset,generator_1,3,4,0.023657412951169726
offset,generator_1,4,4,0.029339670044105388
offset,generator_1,5,4,0.029639710664588103
offset,generator_1,6,4,0.03244579701690515
offset,generator_1,7,4,0.029396213716973606
offset,generator_1,8,4,0.030502110201901907
offset,generator_1,3,5,0.044274335974766446
offset,generator_1,4,5,0.043044400586904896
offset,generator_1,5,5,0.04194749936843291
offset,generator_1,6,5,0.04746103403382852
offset,generator_1,7,5,0.049204766879874226
offset,generator_1,8,5,0.05745869952454642
offset,generator_1,3,6,0.04466522712170201
offset,generator_1,4,6,0.05351012885182316
offset,generator_1,5,6,0.05623032691410812
offset,generator_1,6,6,0.05699712282027469
offset,generator_1,7,6,0.056411023479655244
offset,generator_1,8,6,0.05620157271573367
offset,generator_1,3,7,0.020812427809519637
offset,generator_1,4,7,0.018788843427384547
offset,generator_1,5,7,0.018241543230417982
offset,generator_1,6,7,0.016597241020147722
offset,generator_1,7,7,0.01688654973692679
offset,generator_1,8,7,0.016547592026703563
offset,generator_all,1,0,0.0114026074101243
offset,generator_all,2,0,0.018900804463634853
offset,generator_all,1,1,0.028030173136954366
offset,generator_all,2,1,0.04996826123621673
offset,generator_all,1,2,0.02247182291312129
offset,generator_all,2,2,0.038872848823886356
offset,generator_all,1,3,0.010293766862855712
offset,generator_all,2,3,0.01637426447651072
offset,generator_all,1,4,0.014682598547588799
offset,generator_all,2,4,0.015069354093237619
offset,generator_all,1,5,0.01634309245370152
offset,generator_all,2,5,0.025688044299938238
offset,generator_all,1,6,0.010825388453959342
offset,generator_all,2,6,0.020911311238233223
offset,generator_all,1,7,0.016240659773121464
offset,generator_all,2,7,0.025872753551146845
offset,generator_all,3,0,0.02437374384775558
offset,generator_all,4,0,0.02671113597473615
offset,generator_all,5,0,0.030221825516599705
offset,generator_all,6,0,0.03734457303907889
offset,generator_all,7,0,0.04326587702481926
offset,generator_all,8,0,0.04928292486141017
offset,generator_all,3,1,0.06138173500128136
offset,generator_all,4,1,0.07483763868165837
offset,generator_all,5,1,0.08277283534451808
offset,generator_all,6,1,0.08644228620532264
offset,generator_all,7,1,0.08157471858497818
offset,generator_all,8,1,0.07103405065278594
offset,generator_all,3,2,0.05505864668179603
offset,generator_all,4,2,0.06645766712252842
offset,generator_all,5,2,0.06976880121133887
offset,generator_all,6,2,0.07233338709383563
offset,generator_all,7,2,0.07285748525048608
offset,generator_all,8,2,0.06843546866713894
offset,generator_all,3,3,0.023358439738521575
offset,generator_all,4,3,0.028414023574548388
offset,generator_all,5,3,0.02998906642942084
offset,generator_all,6,3,0.030616833130991016
offset,generator_all,7,3,0.03081129064204825
offset,generator_all,8,3,0.03014574260632645
offset,generator_all,3,4,0.02860933104254575
offset,generator_all,4,4,0.030905053233461505
offset,generator_all,5,4,0.0384981844150275
offset,generator_all,6,4,0.042472355039323034
offset,generator_all,7,4,0.04069496263321337
offset,generator_all,8,4,0.04110771668308119
offset,generator_all,3,5,0.032421633987964764
offset,generator_all,4,5,0.036302735728927164
offset,generator_all,5,5,0.03632566187595975
offset,generator_all,6,5,0.035481456911202726
offset,generator_all,7,5,0.03821893456721432
offset,generator_all,8,5,0.04209065281689779
offset,generator_all,3,6,0.027142592963227446
offset,generator_all,4,6,0.03005236554883723
offset,generator_all,5,6,0.030573014338465467
offset,generator_all,6,6,0.030514288426947877
offset,generator_all,7,6,0.029248190208086222
offset,generator_all,8,6,0.0292983879156446
offset,generator_all,3,7,0.033310041186845475
offset,generator_all,4,7,0.04371921977136996
offset,generator_all,5,7,0.053119713316583356
offset,generator_all,6,7,0.06182430163718901
offset,generator_all,7,7,0.06776890642588554
offset,generator_all,8,7,0.07116754600370898
scale_offset,generator_1,1,0,0.027934280345369603
scale_offset,generator_1,2,0,0.041153027407965774
scale_offset,generator_1,1,1,0.046629999019342484
scale_offset,generator_1,2,1,0.07179881202804535
scale_offset,generator_1,1,2,0.03266590361952626
scale_offset,generator_1,2,2,0.046104445544836246
scale_offset,generator_1,1,3,0.036375428913629056
scale_offset,generator_1,2,3,0.0431299186250246
scale_offset,generator_1,1,4,0.019604134817908653
scale_offset,generator_1,2,4,0.024926951008319837
scale_offset,generator_1,1,5,0.03152376795191343
scale_offset,generator_1,2,5,0.03949390636027797
scale_offset,generator_1,1,6,0.021956031250035795
scale_offset,generator_1,2,6,0.03456907937925215
scale_offset,generator_1,1,7,0.014372646481366625
scale_offset,generator_1,2,7,0.017132606109486755
scale_offset,generator_1,3,0,0.06042842775817261
scale_offset,generator_1,4,0,0.0699362770916755
scale_offset,generator_1,5,0,0.07968851732039267
scale_offset,generator_1,6,0,0.08887734251864852
scale_offset,generator_1,7,0,0.09638597426771857
scale_offset,generator_1,8,0,0.09990365781553058
scale_offset,generator_1,3,1,0.08899733506489621
scale_offset,generator_1,4,1,0.11026460842815293
scale_offset,generator_1,5,1,0.1139392988810851
scale_offset,generator_1,6,1,0.11475925522949494
scale_offset,generator_1,7,1,0.1101172585975998
scale_offset,generator_1,8,1,0.10483386345866463
scale_offset,generator_1,3,2,0.0604700439110791
scale_offset,generator_1,4,2,0.0654854669963794
scale_offset,generator_1,5,2,0.07302208225996991
scale_offset,generator_1,6,2,0.07964877308749613
scale_offset,generator_1,7,2,0.08263220139138827
scale_offset,generator_1,8,2,0.08439287064572498
scale_offset,generator_1,3,3,0.05354023642450406
scale_offset,generator_1,4,3,0.057785351042798895
scale_offset,generator_1,5,3,0.05561596702882213
scale_offset,generator_1,6,3,0.05603847071809739
scale_offset,generator_1,7,3,0.05158549095895241
scale_offset,generator_1,8,3,0.045295982893800345
scale_offset,generator_1,3,4,0.023991964484319835
scale_offset,generator_1,4,4,0.02899397269223152
scale_offset,generator_1,5,4,0.029500699142373365
scale_offset,generator_1,6,4,0.03240730012294489
scale_offset,generator_1,7,4,0.030217390934087113
scale_offset,generator_1,8,4,0.030569161274731357
scale_offset,generator_1,3,5,0.042297799541984184
scale_offset,generator_1,4,5,0.04139593803096173
scale_offset,generator_1,5,5,0.039815559395002545
scale_offset,generator_1,6,5,0.044854446951171
scale_offset,generator_1,7,5,0.04560116858678774
scale_offset,generator_1,8,5,0.053941759472643874
scale_offset,generator_1,3,6,0.043471741812977395
scale_offset,generator_1,4,6,0.05216824237108817
scale_offset,generator_1,5,6,0.05494584467451218
scale_offset,generator_1,6,6,0.05557933629289181
scale_offset,generator_1,7,6,0.05509814868753849
scale_offset,generator_1,8,6,0.054466720169955816
scale_offset,generator_1,3,7,0.021301232949422523
scale_offset,generator_1,4,7,0.01933948558628882
scale_offset,generator_1,5,7,0.018317816320882935
scale_offset,generator_1,6,7,0.016915606962193616
scale_offset,generator_1,7,7,0.017177491984749053
scale_offset,generator_1,8,7,0.017263841411668323
scale_offset,generator_all,1,0,0.011716258316689585
scale_offset,generator_all,2,0,0.01875289980784131
scale_offset,generator_all,1,1,0.02629158135459492
scale_offset,generator_all,2,1,0.048181311685822965
scale_offset,generator_all,1,2,0.0214321500350959
