target,horizon,mape
generator_1,1,0.02660552489920869
generator_1,2,0.036776377382972195
generator_1,3,0.045160989631701155
generator_1,4,0.05017049190376225
generator_1,5,0.05255586084757827
generator_1,6,0.05458417681070348
generator_1,7,0.05553526445993154
generator_1,8,0.056376006365475226
generator_all,1,0.014893158098891284
generator_all,2,0.0235014141088738
generator_all,3,0.03147364542153159
generator_all,4,0.03718717794907685
generator_all,5,0.04046623540722337
generator_all,6,0.04342025071094624
generator_all,7,0.043378098740202695
generator_all,8,0.0417181408505507
