block,target,horizon,skipped_groups,mape
0,generator_1,1,0,0.02557309106750176
0,generator_1,2,0,0.04406969992980825
0,generator_1,3,0,0.05909085003752257
0,generator_1,4,0,0.07132855081267253
0,generator_1,5,0,0.07958692797296262
0,generator_1,6,0,0.0960776947964926
0,generator_1,7,0,0.10120607895769052
0,generator_1,8,0,0.10751100080791416
0,generator_all,1,0,0.010863218710397457
0,generator_all,2,0,0.017256386702367635
0,generator_all,3,0,0.022774712919799628
0,generator_all,4,0,0.027062924537954447
0,generator_all,5,0,0.0336795002214454
0,generator_all,6,0,0.03990664853560091
0,generator_all,7,0,0.04606601583435426
0,generator_all,8,0,0.04919605908252026
1,generator_1,1,0,0.047729936316966315
1,generator_1,2,0,0.0719323468236598
1,generator_1,3,0,0.0951168730438791
1,generator_1,4,0,0.10565310962003249
1,generator_1,5,0,0.1107701065388117
1,generator_1,6,0,0.11230789285215548
1,generator_1,7,0,0.10809474933063605
1,generator_1,8,0,0.11066090965225035
1,generator_all,1,0,0.027452091343167923
1,generator_all,2,0,0.04805423799896491
1,generator_all,3,0,0.06085896963654892
1,generator_all,4,0,0.0716226123622425
1,generator_all,5,0,0.077310838353706
1,generator_all,6,0,0.08113058693279826
1,generator_all,7,0,0.07912076711661416
1,generator_all,8,0,0.07072151629503677
2,generator_1,1,0,0.03801751970941328
2,generator_1,2,0,0.06038628748651222
2,generator_1,3,0,0.07417806603057996
2,generator_1,4,0,0.07721077239271157
2,generator_1,5,0,0.08442823114465146
2,generator_1,6,0,0.08368066006765523
2,generator_1,7,0,0.08624872725527317
2,generator_1,8,0,0.08954770780481258
2,generator_all,1,0,0.02164428983067218
2,generator_all,2,0,0.0367598123398845
2,generator_all,3,0,0.05142658095148767
2,generator_all,4,0,0.06008554794497875
2,generator_all,5,0,0.0631964657815874
2,generator_all,6,0,0.06628185778032512
2,generator_all,7,0,0.06844310984086571
2,generator_all,8,0,0.06707580832809555
3,generator_1,1,0,0.03714869554942163
3,generator_1,2,0,0.04392275408066807
3,generator_1,3,0,0.05139495041605822
3,generator_1,4,0,0.052005247340121484
3,generator_1,5,0,0.05110470316988832
3,generator_1,6,0,0.05093990796080936
3,generator_1,7,0,0.04879336943381679
3,generator_1,8,0,0.042732159740081675
3,generator_all,1,0,0.011751700284390569
3,generator_all,2,0,0.018716233360028246
3,generator_all,3,0,0.0240533467060884
3,generator_all,4,0,0.027732371775654036
3,generator_all,5,0,0.029345807929973877
3,generator_all,6,0,0.028584384892804005
3,generator_all,7,0,0.02962762037262788
3,generator_all,8,0,0.027237391056640237
4,generator_1,1,0,0.020162123361955577
4,generator_1,2,0,0.027061482788042778
4,generator_1,3,0,0.03357312834272638
4,generator_1,4,0,0.03713331023857976
4,generator_1,5,0,0.03666014323408532
4,generator_1,6,0,0.03740346749593182
4,generator_1,7,0,0.03870474804414475
4,generator_1,8,0,0.03827708842887825
4,generator_all,1,0,0.01332187743331422
4,generator_all,2,0,0.01761729759053715
4,generator_all,3,0,0.02873153537070837
4,generator_all,4,0,0.03763876644126952
4,generator_all,5,0,0.04882986073370349
4,generator_all,6,0,0.05787389831012246
4,generator_all,7,0,0.05562170359559104
4,generator_all,8,0,0.04913175824225283
5,generator_1,1,0,0.03107733257022666
5,generator_1,2,0,0.03944481561074156
5,generator_1,3,0,0.038663755671521166
5,generator_1,4,0,0.0403011851483863
5,generator_1,5,0,0.0376247325323351
5,generator_1,6,0,0.04249665686102677
5,generator_1,7,0,0.0439680068888645
5,generator_1,8,0,0.053802930546317296
5,generator_all,1,0,0.01570135617203137
5,generator_all,2,0,0.02499882677082217
5,generator_all,3,0,0.031167617997161435
5,generator_all,4,0,0.03743640247583773
5,generator_all,5,0,0.03942645813691817
5,generator_all,6,0,0.041341325197779784
5,generator_all,7,0,0.044211636574845774
5,generator_all,8,0,0.04043056628621319
6,generator_1,1,0,0.022897007239026643
6,generator_1,2,0,0.0347063795045277
6,generator_1,3,0,0.04609347590259102
6,generator_1,4,0,0.052374249197182275
6,generator_1,5,0,0.05283252324504811
6,generator_1,6,0,0.0524254174574795
6,generator_1,7,0,0.05210011356121628
6,generator_1,8,0,0.05126991489386396
6,generator_all,1,0,0.011545447862955374
6,generator_all,2,0,0.02126413372505451
6,generator_all,3,0,0.023738878461043156
6,generator_all,4,0,0.026424008208587754
6,generator_all,5,0,0.026734722720586215
6,generator_all,6,0,0.023942857502493285
6,generator_all,7,0,0.024986568933716233
6,generator_all,8,0,0.02581035352944457
7,generator_1,1,0,0.01453047302555627
7,generator_1,2,0,0.017933342771991524
7,generator_1,3,0,0.02111557942609757
7,generator_1,4,0,0.02446018720009872
7,generator_1,5,0,0.022746941407074693
7,generator_1,6,0,0.02814778939622509
7,generator_1,7,0,0.03334350149982254
7,generator_1,8,0,0.02866970987034144
7,generator_all,1,0,0.017133149253855503
7,generator_all,2,0,0.024906282443451114
7,generator_all,3,0,0.03454548900813598
7,generator_all,4,0,0.04173025542575459
7,generator_all,5,0,0.04891138023485441
7,generator_all,6,0,0.05718636239799604
7,generator_all,7,0,0.06276006113710182
7,generator_all,8,0,0.06887329406616872
