datetime,generator_1_t+15_pred,generator_1_t+30_pred,generator_1_t+45_pred,generator_1_t+60_pred,generator_1_t+75_pred,generator_1_t+90_pred,generator_1_t+105_pred,generator_1_t+120_pred,generator_1_t+135_pred,generator_1_t+150_pred,generator_1_t+165_pred,generator_1_t+180_pred,generator_1_t+195_pred,generator_1_t+210_pred,generator_1_t+225_pred,generator_1_t+240_pred,generator_1_t+255_pred,generator_1_t+270_pred,generator_1_t+285_pred,generator_1_t+300_pred,generator_1_t+315_pred,generator_1_t+330_pred,generator_1_t+345_pred,generator_1_t+360_pred,generator_1_t+375_pred,generator_1_t+390_pred,generator_1_t+405_pred,generator_1_t+420_pred,generator_1_t+435_pred,generator_1_t+450_pred,generator_1_t+465_pred,generator_1_t+480_pred,generator_1_t+495_pred,generator_1_t+510_pred,generator_1_t+525_pred,generator_1_t+540_pred,generator_1_t+555_pred,generator_1_t+570_pred,generator_1_t+585_pred,generator_1_t+600_pred,generator_1_t+615_pred,generator_1_t+630_pred,generator_1_t+645_pred,generator_1_t+660_pred,generator_1_t+675_pred,generator_1_t+690_pred,generator_1_t+705_pred,generator_1_t+720_pred,generator_1_t+735_pred,generator_1_t+750_pred,generator_1_t+765_pred,generator_1_t+780_pred,generator_1_t+795_pred,generator_1_t+810_pred,generator_1_t+825_pred,generator_1_t+840_pred,generator_1_t+855_pred,generator_1_t+870_pred,generator_1_t+885_pred,generator_1_t+900_pred,generator_1_t+915_pred,generator_1_t+930_pred,generator_1_t+945_pred,generator_1_t+960_pred,generator_1_t+975_pred,generator_1_t+990_pred,generator_1_t+1005_pred,generator_1_t+1020_pred,generator_1_t+1035_pred,generator_1_t+1050_pred,generator_1_t+1065_pred,generator_1_t+1080_pred,generator_1_t+1095_pred,generator_1_t+1110_pred,generator_1_t+1125_pred,generator_1_t+1140_pred,generator_1_t+1155_pred,generator_1_t+1170_pred,generator_1_t+1185_pred,generator_1_t+1200_pred,generator_1_t+1215_pred,generator_1_t+1230_pred,generator_1_t+1245_pred,generator_1_t+1260_pred,generator_1_t+1275_pred,generator_1_t+1290_pred,generator_1_t+1305_pred,generator_1_t+1320_pred,generator_1_t+1335_pred,generator_1_t+1350_pred,generator_1_t+1365_pred,generator_1_t+1380_pred,generator_1_t+1395_pred,generator_1_t+1410_pred,generator_1_t+1425_pred,generator_1_t+1440_pred,generator_all_t+15_pred,generator_all_t+30_pred,generator_all_t+45_pred,generator_all_t+60_pred,generator_all_t+75_pred,generator_all_t+90_pred,generator_all_t+105_pred,generator_all_t+120_pred,generator_all_t+135_pred,generator_all_t+150_pred,generator_all_t+165_pred,generator_all_t+180_pred,generator_all_t+195_pred,generator_all_t+210_pred,generator_all_t+225_pred,generator_all_t+240_pred,generator_all_t+255_pred,generator_all_t+270_pred,generator_all_t+285_pred,generator_all_t+300_pred,generator_all_t+315_pred,generator_all_t+330_pred,generator_all_t+345_pred,generator_all_t+360_pred,generator_all_t+375_pred,generator_all_t+390_pred,generator_all_t+405_pred,generator_all_t+420_pred,generator_all_t+435_pred,generator_all_t+450_pred,generator_all_t+465_pred,generator_all_t+480_pred,generator_all_t+495_pred,generator_all_t+510_pred,generator_all_t+525_pred,generator_all_t+540_pred,generator_all_t+555_pred,generator_all_t+570_pred,generator_all_t+585_pred,generator_all_t+600_pred,generator_all_t+615_pred,generator_all_t+630_pred,generator_all_t+645_pred,generator_all_t+660_pred,generator_all_t+675_pred,generator_all_t+690_pred,generator_all_t+705_pred,generator_all_t+720_pred,generator_all_t+735_pred,generator_all_t+750_pred,generator_all_t+765_pred,generator_all_t+780_pred,generator_all_t+795_pred,generator_all_t+810_pred,generator_all_t+825_pred,generator_all_t+840_pred,generator_all_t+855_pred,generator_all_t+870_pred,generator_all_t+885_pred,generator_all_t+900_pred,generator_all_t+915_pred,generator_all_t+930_pred,generator_all_t+945_pred,generator_all_t+960_pred,generator_all_t+975_pred,generator_all_t+990_pred,generator_all_t+1005_pred,generator_all_t+1020_pred,generator_all_t+1035_pred,generator_all_t+1050_pred,generator_all_t+1065_pred,generator_all_t+1080_pred,generator_all_t+1095_pred,generator_all_t+1110_pred,generator_all_t+1125_pred,generator_all_t+1140_pred,generator_all_t+1155_pred,generator_all_t+1170_pred,generator_all_t+1185_pred,generator_all_t+1200_pred,generator_all_t+1215_pred,generator_all_t+1230_pred,generator_all_t+1245_pred,generator_all_t+1260_pred,generator_all_t+1275_pred,generator_all_t+1290_pred,generator_all_t+1305_pred,generator_all_t+1320_pred,generator_all_t+1335_pred,generator_all_t+1350_pred,generator_all_t+1365_pred,generator_all_t+1380_pred,generator_all_t+1395_pred,generator_all_t+1410_pred,generator_all_t+1425_pred,generator_all_t+1440_pred
2025-05-01 00:00:00,102.894514,102.955311,102.317568,102.221511,102.600687,102.267866,102.630391,102.645361,103.113236,104.518636,104.195315,103.172174,103.234313,101.505423,101.593917,101.779161,99.787122,99.299148,99.740145,99.859272,99.576255,100.122862,101.012946,100.615481,99.632734,100.085973,99.913242,100.846350,99.869756,100.841982,100.932730,102.268186,101.423633,104.021057,105.092167,104.641148,105.090120,104.265138,101.363519,101.078398,101.027452,103.796968,103.110929,103.297136,103.085565,102.386705,105.390317,103.650749,105.897037,108.114952,107.566715,108.002355,108.628823,109.769817,111.737136,113.146902,113.572602,115.485292,116.053120,114.049907,113.055521,110.983158,113.327701,110.492034,109.448306,109.255603,107.566723,106.956174,108.680875,109.786958,111.728053,113.227469,108.413357,109.335264,104.408264,104.265349,102.289473,101.347529,100.376035,101.111882,99.444152,103.071353,101.499707,101.581949,101.962966,100.916493,101.266102,101.735046,102.175408,102.021288,101.891057,101.898752,101.775342,101.623039,102.755563,102.415142,316.653031,315.433193,315.315966,312.596819,313.318742,312.646330,312.508665,309.416700,310.760351,310.844264,310.387358,309.068156,305.327501,303.377977,302.733846,304.471676,299.872486,304.200751,303.726512,304.407454,303.865779,301.254559,305.750524,303.886596,306.317384,310.854753,312.976469,313.080380,312.408168,309.838231,310.091684,309.889293,310.684107,316.808249,322.946060,325.508538,326.979716,324.401031,320.682774,320.749729,313.109424,313.999690,314.426308,307.430065,309.144949,311.381743,313.396849,311.999665,305.717863,311.803947,309.447973,310.748513,315.613799,315.211543,315.555633,315.938636,316.713370,322.594890,326.046223,326.994300,322.905841,321.421804,325.518200,320.332547,317.198407,314.916946,318.969363,325.636694,329.250769,330.348110,331.893029,331.616395,332.720794,331.622457,329.345187,330.068639,329.096120,328.959804,327.652059,321.650557,314.918962,313.466722,311.612835,312.792280,313.274732,312.897468,316.716109,314.608334,315.429507,319.301638,321.203987,324.507030,327.066781,322.987271,318.906636,318.692742
2025-05-01 00:15:00,102.537130,102.626769,101.628189,102.054069,102.057072,102.442706,102.353522,103.357878,104.640987,104.552050,103.349318,103.486957,101.814225,101.569364,101.686211,99.690657,99.306734,99.589214,99.756659,99.489239,99.991473,100.977043,100.312179,100.970613,100.157558,99.591601,100.007470,99.807213,100.538177,100.460127,101.684929,100.949623,103.104200,104.352510,104.324775,104.850452,103.771805,101.380022,100.539545,101.053182,102.467801,103.601763,103.127421,103.104294,101.903959,104.803742,103.329579,104.800712,108.434995,108.079444,108.159003,108.475482,109.559239,111.955844,112.673640,113.149818,115.238258,115.920834,114.312025,113.743754,111.248497,113.343519,111.296410,109.480951,109.401166,108.056210,106.583628,108.586029,109.559393,112.260550,113.064348,108.671781,109.527712,104.338417,104.674356,102.699958,101.137893,100.649794,101.560061,99.374276,103.163397,101.752249,101.280769,102.278775,100.938642,101.253595,101.221298,102.063182,102.075600,101.817706,101.955726,101.781088,101.616628,102.784432,103.569909,102.419212,319.584910,320.482801,318.918131,318.052555,318.910279,317.318946,317.379190,313.845476,315.909450,313.128639,313.076612,310.879699,306.329632,305.945254,306.606181,305.266508,304.214397,307.585603,307.306728,306.244526,304.794844,306.497844,306.625622,309.326758,313.858942,309.426927,311.199346,311.167469,309.924222,310.639644,309.467934,309.839745,317.184421,320.265706,324.365006,325.784522,322.388152,321.103750,316.318176,313.306335,312.697422,313.599237,310.120051,308.177545,311.071680,314.247480,310.812977,311.586959,307.884109,308.852958,311.707805,310.068424,312.908429,314.173497,314.127682,316.479866,323.225336,325.759388,327.962991,325.893978,318.815287,323.037457,321.207763,317.460022,319.952232,319.124358,325.285079,331.483054,331.897694,335.086844,332.034851,330.709638,333.943071,330.066690,330.669463,328.903258,328.079272,330.965218,324.007148,316.492042,314.182561,312.162141,312.807382,310.033110,313.262011,315.288113,313.268550,316.008161,318.378811,322.202888,324.599160,324.082741,322.381527,323.872699,322.095871,320.706782
2025-05-01 00:30:00,102.752767,103.317429,102.412666,102.136628,102.599082,102.539781,103.356564,103.822249,104.442585,103.460602,103.379676,101.665146,101.834524,101.958334,99.877450,99.486822,99.852493,99.894749,99.524213,100.056156,101.089521,100.694731,101.089543,102.109982,99.924207,100.339180,99.731323,101.031667,101.064878,101.991821,101.130651,103.454643,104.288433,104.594273,105.342770,104.079120,101.230256,100.889450,100.927250,103.125582,102.822954,104.060553,103.315425,102.422624,104.804276,102.922886,104.703332,106.902065,107.533071,108.490003,108.336656,109.342451,111.912192,113.067476,112.746000,115.185777,115.754156,114.594278,113.761875,111.337287,112.957290,110.342417,109.517687,108.808930,108.059579,107.356135,108.458346,109.609282,112.234612,113.386567,108.243086,109.617811,104.410323,104.335004,102.523371,101.177261,100.067007,101.331927,99.325433,102.727821,101.455033,101.638985,102.246986,101.363042,101.778732,101.447216,101.792221,102.123546,101.748414,101.693550,101.439656,100.875145,102.296236,102.972204,102.448909,102.076417,319.490001,320.599030,320.396108,319.642047,322.642189,321.004622,320.162598,317.690441,316.656740,313.845090,314.835630,309.325125,308.711126,309.433588,306.359754,309.301319,305.738078,310.438463,309.021654,307.475262,308.259911,308.308852,308.604065,314.794264,314.691348,310.949622,310.347402,309.163829,313.777067,312.012897,310.923196,317.330680,321.714275,323.552796,325.825545,323.784349,321.869316,319.250353,311.441885,313.898037,312.892178,312.225218,310.286843,309.168425,313.592933,311.967882,309.178474,312.808850,306.123974,311.054707,311.864410,310.040285,316.109112,316.004333,315.617790,318.941761,325.104862,329.505720,328.363452,322.788356,322.997817,323.441048,319.676185,321.386573,323.119615,327.920206,330.870362,334.220485,336.316061,333.798672,329.811394,330.397792,329.830635,330.420360,330.211382,328.177764,328.871315,329.170957,319.785538,316.014751,313.367483,312.613010,311.784132,311.042537,316.044368,312.598361,315.758270,318.500024,320.084801,321.805431,321.891678,322.256519,321.998061,322.959805,322.083541,321.493406
2025-05-01 00:45:00,102.928557,103.515762,101.906095,102.363935,102.334432,103.254766,103.750651,103.581318,103.544183,103.715359,101.891138,102.083592,102.061366,100.081250,99.602378,100.116328,100.175757,99.782398,100.223614,101.301376,100.798351,101.405493,102.254087,101.955043,100.166511,99.576099,100.660309,101.077529,102.046001,101.238650,103.745844,104.262620,103.987580,104.919560,104.167739,101.421193,100.368567,101.270338,102.816732,102.909448,103.178351,104.073665,102.561722,105.188116,102.718028,104.266586,106.663431,106.132824,108.084938,108.536071,108.900151,111.205658,112.278134,112.983228,114.583360,115.452264,113.883231,113.903366,111.358200,112.952335,110.402021,109.206753,109.094132,107.401488,106.874958,108.674972,109.308826,111.636995,113.256939,108.414153,108.920811,104.484623,104.435993,102.214417,101.117104,100.340981,101.167753,99.434274,102.802051,100.987168,101.499504,102.376398,100.879566,101.984615,101.564645,101.401220,101.570047,101.354270,101.636728,101.345210,101.394716,102.206750,102.950964,102.565659,102.696101,102.392107,320.556644,321.534110,320.205872,320.310839,320.570020,318.889718,319.103999,315.284688,313.853774,311.656569,309.847668,308.546465,307.503884,306.502504,305.280393,307.781344,305.140201,308.521304,306.618153,307.622869,303.310365,307.724741,311.319270,314.047487,314.467543,312.876024,307.825221,309.419796,313.561660,311.484537,317.512775,320.844333,325.877881,325.896381,324.053702,323.404792,318.241470,314.551977,313.392242,313.794295,311.409045,311.606525,310.195950,311.627831,310.536182,310.432462,310.032545,313.182860,307.324865,309.872899,311.385162,315.560654,317.087378,317.642084,322.724344,322.643599,329.001943,327.219596,324.071791,323.892905,319.751232,320.090645,322.026450,324.515664,328.894878,329.021661,330.149239,333.568922,333.678615,331.396112,330.425119,327.630540,327.656613,328.561962,328.199553,328.446292,326.150882,322.849145,319.697692,317.338772,315.866264,313.574136,314.501536,312.313116,316.449722,316.490608,320.963496,322.949780,321.091058,323.341585,323.584521,321.919350,321.345046,321.474553,323.925016,319.457613
2025-05-01 01:00:00,103.494227,103.208320,102.824261,102.786460,103.782167,104.211333,103.992638,103.942400,103.751567,102.131507,102.153255,102.179428,100.150633,99.763762,100.147760,100.289791,99.851714,100.342389,101.310948,100.943516,101.405854,102.354845,101.961898,102.653540,100.216782,101.238468,101.075611,102.566160,101.710315,103.875705,105.054515,104.424298,105.008313,104.701210,102.060150,101.029873,100.997691,103.390191,102.993496,103.606740,103.628476,103.578127,105.489331,103.645378,104.579267,106.501830,106.384211,107.228207,108.452533,109.896704,111.814639,112.598413,113.228825,115.307384,115.469743,114.382350,113.409812,111.525560,113.465441,110.534566,109.429345,109.156592,108.074005,106.980251,108.882370,109.616678,112.025672,113.358781,108.905151,109.960206,104.317192,104.852394,102.945778,101.213827,100.617759,101.773550,99.655974,102.928040,101.739984,101.753530,102.497422,101.706412,102.003757,102.513727,102.127835,101.966906,101.884149,102.064877,102.022051,101.566132,102.927495,102.938324,102.535185,103.096096,102.929091,102.801344,320.217906,321.998051,322.960767,321.810630,323.733377,322.334470,320.512981,318.762487,314.909286,311.071934,311.300839,310.069037,307.283904,309.713924,307.834728,310.455600,307.024319,310.494339,311.166237,309.690331,311.254113,315.226598,315.020199,316.550242,315.523849,308.884517,309.875273,309.824470,314.202834,318.253578,323.148611,323.868214,327.751366,324.397980,324.526150,319.681608,313.381696,314.967885,312.640819,311.117855,309.352950,312.098196,312.220768,307.726846,307.648663,310.550861,310.644111,312.684125,308.346746,310.794545,314.056142,316.629683,317.065646,321.689597,323.328933,323.992898,324.271657,322.282858,325.189338,320.316558,315.922413,322.386112,326.184146,328.265079,334.067972,332.774481,335.191490,332.324430,332.964877,331.701718,327.058337,326.020437,327.713780,327.350708,329.252632,326.379018,320.011800,321.234392,317.927624,317.373830,314.746670,311.993387,315.255819,311.309869,316.466262,318.780939,322.007508,321.986756,321.792224,321.454186,322.890683,321.982690,321.472223,322.728876,322.969147,322.369059
2025-05-01 01:15:00,103.127524,104.137494,103.779575,104.484709,105.053445,104.843302,104.841691,105.026914,102.842924,102.989615,102.914671,100.842899,100.394075,100.856784,100.883160,100.709315,101.220479,102.224788,101.783870,102.280345,103.221078,102.868406,103.411639,102.757151,101.966406,101.918595,103.174781,102.595433,104.517497,105.780511,105.773203,105.983886,105.237723,102.225953,102.186356,102.551087,104.263003,104.459248,104.822948,104.924055,103.714674,107.092275,104.492616,106.005171,107.362394,106.596990,107.968658,108.324512,110.163658,112.797591,113.720960,113.883341,115.964052,116.798307,114.824547,114.773114,111.882654,114.596446,111.937341,110.248018,109.884960,108.613464,108.329726,109.092758,110.927560,112.907473,114.224240,109.281355,110.828358,105.700605,105.180001,103.922169,102.406172,100.958939,102.563456,100.425632,104.023245,102.163459,102.589553,103.057525,101.996537,102.518080,102.670780,103.778032,103.146599,102.670525,103.043969,102.887976,102.539533,103.345615,103.884103,103.435327,103.855828,103.501550,104.093334,103.072806,323.432904,324.694359,327.767236,327.087011,327.985013,324.853121,324.032979,320.674885,315.245260,313.939154,314.169897,309.986736,310.203016,312.012537,309.774750,311.619252,308.380629,311.951314,312.180578,312.697423,316.086717,315.178003,315.439356,315.771059,313.981805,311.811260,312.326612,310.099576,322.511245,324.279270,326.706626,326.094728,327.283827,325.583953,320.461531,314.059040,315.352927,315.138495,311.147664,311.001949,310.835370,314.777848,309.000537,306.729353,310.477952,312.944232,311.568822,313.059087,306.880440,312.692482,313.883181,315.925069,320.101254,324.565365,325.828918,320.429378,319.570276,324.867790,322.056498,319.231015,319.356516,324.788726,331.781590,333.782147,334.918678,334.291915,334.031956,331.145786,331.340277,328.541844,326.731892,325.934297,324.043534,327.198482,326.600961,319.233295,317.874228,316.370116,316.310058,316.934309,310.762375,315.156057,311.965114,313.819891,320.110085,320.542396,324.705942,323.355708,320.414923,322.014266,324.152618,322.982908,324.469524,319.260756,323.973845,322.117803
2025-05-01 01:30:00,110.908766,111.039014,107.407867,108.216643,108.371024,108.793990,108.911898,108.307971,106.164700,105.851496,103.812842,103.417119,103.680855,103.330484,102.805435,103.833244,104.667591,104.197561,104.704056,105.447241,105.172101,105.771416,105.160144,105.723439,104.588382,105.692397,104.669373,107.378492,108.129762,107.828015,108.574567,107.457594,104.347258,103.390951,104.072873,105.547991,105.468869,105.737531,105.772467,105.358372,107.975765,106.603986,107.849780,109.546348,108.917616,109.447156,109.261518,111.021157,113.674263,114.819435,115.086580,117.089322,117.381957,116.236944,115.304500,113.229047,114.886071,112.450197,111.274891,111.048053,110.040324,108.828724,110.613625,111.412571,114.471484,115.570215,110.381835,111.421769,106.397680,106.756645,104.932370,103.536623,102.645061,103.647262,102.132180,105.221804,104.174033,104.296117,104.330755,102.941957,103.313268,103.363733,104.010051,103.692126,103.814179,104.138352,103.134631,103.275814,104.346483,104.587555,104.132374,104.282436,104.305207,104.909117,104.241445,106.645904,343.730632,342.555064,341.865945,340.082572,338.028866,336.316321,336.268958,331.491070,320.437094,320.114904,318.658837,317.361173,316.109211,317.678096,314.481074,314.258449,312.250387,313.970524,315.822979,320.979512,320.398996,319.862525,316.819595,319.445904,315.877075,315.669292,313.746190,319.308440,325.803410,328.420882,327.435379,325.854520,327.382212,321.784633,316.886049,318.522035,318.768269,317.345978,314.791359,315.976073,317.701591,315.463033,313.251477,311.591979,313.105110,314.189323,311.273962,312.869889,311.798855,316.646151,313.254893,320.120438,323.833153,325.608605,324.054123,318.681325,323.256224,323.312720,319.529573,322.441882,322.732349,331.477193,337.675507,339.932206,341.823130,335.706524,330.114398,328.838140,331.974185,328.282832,328.551159,327.293045,330.125021,328.976412,321.698967,319.578413,317.163735,319.087424,319.046704,317.164692,314.326308,314.013406,314.413745,314.065197,321.361844,320.088684,322.362645,317.828250,322.776968,324.579160,325.969237,326.767217,323.353227,323.347038,325.728379,325.983575
2025-05-01 01:45:00,116.810432,116.874370,110.483475,110.195422,110.858042,110.873897,110.289805,109.770933,107.148198,104.959725,104.814057,105.039577,103.916124,103.766466,104.675206,105.989004,105.374677,105.904086,106.786768,106.147821,107.066633,106.327968,106.937875,107.160634,108.339167,107.719916,109.771591,111.248371,110.453269,110.810692,109.503026,106.654973,105.033731,105.046602,107.740664,107.676773,107.900092,108.625705,108.084343,110.962824,108.910052,111.084266,113.002753,112.007956,112.462330,112.626570,113.378795,116.391504,115.146708,115.176353,117.368418,117.872490,116.429257,116.310139,113.513334,115.844266,112.814807,111.708559,111.782307,110.771311,109.960317,111.651562,112.119550,115.290077,116.874674,112.072620,112.283043,107.615394,107.457977,106.607677,104.829600,103.679527,104.986633,103.001113,106.546095,105.186264,105.198023,105.269452,104.043563,105.090968,104.412674,104.435041,104.801172,104.336671,104.577985,103.942312,104.367045,105.330372,105.527302,105.226068,105.111328,105.037748,105.324337,104.997918,107.684182,109.511976,348.532010,347.198813,346.636679,344.227064,343.476527,340.378325,339.422896,335.378282,325.015205,322.090679,322.753961,321.880055,321.322245,321.651661,320.296879,320.750544,320.360903,321.874695,325.633086,324.971427,325.698969,323.949835,322.622784,326.724975,318.626868,319.069665,325.462747,328.426123,332.782453,333.853546,329.222070,330.427482,326.940505,320.975980,321.430205,322.444243,321.044977,319.474616,319.556078,320.691007,317.304827,317.221765,316.526392,316.567987,316.283991,316.304549,314.661420,318.594475,312.797705,314.640152,317.292693,323.050571,325.176425,324.113241,321.152624,321.364491,319.406997,320.611681,320.768000,325.867821,330.573362,334.107910,335.913562,340.634689,336.073344,331.073957,331.449447,323.906191,329.787072,324.895401,325.948704,328.653324,325.716476,321.838462,320.763568,319.479641,318.102499,319.462563,317.854560,317.997887,315.790157,315.455911,318.084850,317.430864,320.655061,321.876114,318.921933,318.484140,324.049254,324.036419,324.420388,322.269231,323.744895,325.913728,324.659217,331.125127
2025-05-01 02:00:00,116.053435,116.814491,109.515312,110.183825,110.411042,109.495940,109.328739,109.159249,104.618262,104.514578,104.615190,103.627337,103.293316,104.266524,105.449085,105.001722,105.499698,106.434051,105.830159,106.333992,105.711839,106.204236,106.480375,107.133243,106.873700,109.079878,109.743719,110.024953,110.206830,109.191811,105.914524,104.824474,104.660541,106.125649,106.950214,107.219093,107.095944,107.286806,110.021537,108.053577,109.398887,111.812259,111.509780,111.734654,111.385000,112.567726,114.775106,115.976122,114.464287,115.819380,116.806773,115.360380,115.508021,113.206178,115.226515,112.246078,110.858227,110.575083,109.589581,109.200493,110.531728,111.644499,114.373891,115.653348,111.041524,111.714472,106.063750,106.544228,105.295507,104.212662,103.305678,103.653849,102.286758,105.883945,104.073100,104.345476,104.501049,102.873820,103.595912,103.495363,103.770470,103.445611,103.368298,103.481266,103.268936,102.762480,104.800578,104.744362,104.470112,104.282890,104.267030,104.285533,104.003056,106.616508,108.335681,108.115767,348.018247,348.737703,345.708158,344.187679,343.763152,340.416689,340.067699,337.525062,323.526665,323.535280,323.605898,322.038911,321.463367,321.988355,321.802713,321.977989,320.938278,326.494260,325.157435,326.253347,324.560117,323.232417,321.658450,326.742454,318.882448,325.627207,328.522385,330.532063,334.674109,331.336200,329.890850,325.736644,321.838798,321.364658,322.002068,320.936153,319.602475,319.702534,321.751093,317.163905,315.609990,318.534568,316.803056,316.659509,314.662267,317.078877,317.629822,319.393150,311.258883,321.886207,321.337509,325.179727,324.252935,321.484648,322.591984,317.647519,318.798211,323.460469,325.181486,330.160006,334.963832,335.061107,338.739669,337.841917,333.211320,330.180359,328.676679,324.491609,329.535984,325.550817,328.999896,325.448076,320.341621,321.618665,318.336452,319.175187,317.277237,320.046380,320.390367,317.982902,317.802040,319.414248,321.155427,320.298451,321.950771,319.025194,321.223525,319.777995,321.481352,323.922918,321.830658,323.990634,324.489225,325.875000,328.951362,330.724084
2025-05-01 02:15:00,114.811456,114.656520,110.237026,110.491293,109.813499,109.302536,109.403483,108.588236,105.063237,105.045514,104.495225,104.066800,105.285591,106.464999,106.143311,106.866527,107.624688,107.145352,107.737107,106.930619,107.494025,107.720160,108.405655,107.600042,107.896965,109.193950,108.728542,110.118346,108.652648,105.956144,105.721243,105.539464,106.722027,107.038256,107.194109,107.574780,106.520840,109.627925,107.647596,108.911272,110.762934,110.749880,111.778036,111.323129,112.119310,114.527975,115.184548,116.369136,117.160117,117.752195,115.863370,115.881435,113.790885,115.752465,113.229193,111.533807,111.166223,110.133630,109.787104,111.192788,112.363121,115.073410,116.399335,111.091986,111.828039,106.948140,106.974929,105.459905,103.644304,103.154048,104.358430,101.973835,106.151882,104.401202,104.146229,104.264557,103.224653,103.066857,102.322945,102.891665,103.200773,102.734697,103.017854,102.726490,103.072095,103.859615,104.685504,103.853549,104.191625,103.877881,104.143535,103.612089,106.071526,107.955667,107.755329,107.533141,345.337231,344.386714,341.277878,339.062825,337.449199,335.579875,335.442848,331.162400,320.490563,320.845963,320.975372,318.684755,318.427977,320.722855,319.048260,319.241979,324.173461,324.054479,323.097044,323.121384,321.208002,320.810262,323.853033,325.585386,323.191916,327.909476,330.423979,330.096161,330.068713,328.724302,324.006418,318.954440,321.079081,320.031031,317.947349,318.158816,318.198417,320.818155,317.309659,313.371879,314.910771,318.232119,314.802947,313.935024,312.742538,317.035521,315.804233,317.374340,313.978170,320.473882,322.362644,322.293036,318.192821,321.157750,319.097427,315.913445,319.104952,324.782453,328.649441,333.453283,335.413069,336.851484,334.767742,334.789760,332.786051,326.712395,325.372620,322.465610,325.753525,325.127218,323.196892,318.443751,319.626083,319.046062,319.203365,319.256690,318.318040,321.020001,319.771301,318.342836,319.146266,321.715798,319.634264,319.836412,322.107777,318.906034,321.219612,318.212764,320.902893,321.909314,323.210041,322.243663,323.534814,327.940436,326.585647,325.871606
