datetime,generator_1_t+15_pred,generator_1_t+30_pred,generator_1_t+45_pred,generator_1_t+60_pred,generator_1_t+75_pred,generator_1_t+90_pred,generator_1_t+105_pred,generator_1_t+120_pred,generator_all_t+15_pred,generator_all_t+30_pred,generator_all_t+45_pred,generator_all_t+60_pred,generator_all_t+75_pred,generator_all_t+90_pred,generator_all_t+105_pred,generator_all_t+120_pred
2025-05-01 00:00:00,102.894514,102.955311,102.317568,102.221511,102.600687,102.267866,102.630391,102.645361,316.653031,315.433193,315.315966,312.596819,313.318742,312.646330,312.508665,309.416700
2025-05-01 00:15:00,102.537130,102.626769,101.628189,102.054069,102.057072,102.442706,102.353522,103.357878,319.584910,320.482801,318.918131,318.052555,318.910279,317.318946,317.379190,313.845476
2025-05-01 00:30:00,102.752767,103.317429,102.412666,102.136628,102.599082,102.539781,103.356564,103.822249,319.490001,320.599030,320.396108,319.642047,322.642189,321.004622,320.162598,317.690441
2025-05-01 00:45:00,102.928557,103.515762,101.906095,102.363935,102.334432,103.254766,103.750651,103.581318,320.556644,321.534110,320.205872,320.310839,320.570020,318.889718,319.103999,315.284688
2025-05-01 01:00:00,103.494227,103.208320,102.824261,102.786460,103.782167,104.211333,103.992638,103.942400,320.217906,321.998051,322.960767,321.810630,323.733377,322.334470,320.512981,318.762487
2025-05-01 01:15:00,103.127524,104.137494,103.779575,104.484709,105.053445,104.843302,104.841691,105.026914,323.432904,324.694359,327.767236,327.087011,327.985013,324.853121,324.032979,320.674885
2025-05-01 01:30:00,110.908766,111.039014,107.407867,108.216643,108.371024,108.793990,108.911898,108.307971,343.730632,342.555064,341.865945,340.082572,338.028866,336.316321,336.268958,331.491070
2025-05-01 01:45:00,116.810432,116.874370,110.483475,110.195422,110.858042,110.873897,110.289805,109.770933,348.532010,347.198813,346.636679,344.227064,343.476527,340.378325,339.422896,335.378282
2025-05-01 02:00:00,116.053435,116.814491,109.515312,110.183825,110.411042,109.495940,109.328739,109.159249,348.018247,348.737703,345.708158,344.187679,343.763152,340.416689,340.067699,337.525062
2025-05-01 02:15:00,114.811456,114.656520,110.237026,110.491293,109.813499,109.302536,109.403483,108.588236,345.337231,344.386714,341.277878,339.062825,337.449199,335.579875,335.442848,331.162400
2025-05-01 02:30:00,115.225861,115.224612,110.818017,110.112173,109.699254,109.502661,108.633286,108.500059,344.121984,343.299086,340.569730,337.151726,337.205255,335.228767,335.389799,331.748611
2025-05-01 02:45:00,116.309395,116.390000,109.357050,109.016730,108.821433,107.991946,107.840228,107.867181,348.340147,347.886372,344.941416,340.940039,339.021730,336.117636,334.460518,332.973218
2025-05-01 03:00:00,117.162601,116.765421,110.239102,110.145925,109.511296,109.306349,109.213283,108.561798,333.491615,331.394650,328.994944,327.592887,330.320153,327.204356,327.602252,324.525616
2025-05-01 03:15:00,115.019725,114.995783,110.367055,109.758848,109.489164,109.480224,109.234923,109.141010,330.509796,329.843744,327.059831,321.625508,317.890432,315.073335,312.991819,308.663285
2025-05-01 03:30:00,116.116354,115.536963,110.612958,110.417832,110.438206,110.256980,110.021035,110.615044,331.711461,331.119561,328.377896,325.295757,324.271505,322.018643,320.486804,319.696215
2025-05-01 03:45:00,116.003805,115.609149,108.944939,108.919125,108.430906,108.048928,108.436960,109.268142,331.690023,331.244201,328.462103,325.921886,326.047041,323.581107,321.212205,321.379069
2025-05-01 04:00:00,116.571058,116.693258,109.678755,109.052620,108.952961,109.211901,109.937195,110.105326,329.106238,328.838643,327.270598,324.665887,325.266392,323.200950,323.595641,324.419781
2025-05-01 04:15:00,115.078701,114.595776,109.273681,108.970058,109.606598,110.296664,110.195352,110.495465,323.878801,322.390749,319.134213,314.233257,317.751245,316.751596,315.687333,313.158763
2025-05-01 04:30:00,111.098273,110.994874,107.445354,107.802653,108.538945,108.424284,108.587399,108.784095,320.891099,319.853893,317.980569,316.400179,319.124380,318.562915,320.375436,318.948525
2025-05-01 04:45:00,110.918088,110.684763,108.045882,108.580322,108.717783,108.832639,108.944212,108.962791,321.477481,321.211866,320.300060,319.665949,321.356005,321.332132,323.704916,320.352536
2025-05-01 05:00:00,107.638449,107.885342,106.498431,106.370083,106.395079,106.666450,106.642673,106.791083,317.874083,318.368712,316.576329,314.784305,313.411135,316.549173,316.399242,309.285773
2025-05-01 05:15:00,118.327583,118.389971,111.271390,112.970861,112.406240,112.230746,112.744738,112.545928,331.831144,333.533440,333.399566,335.285513,334.705039,333.304087,332.136111,332.944395
2025-05-01 05:30:00,120.579823,120.643067,115.446053,114.656424,114.725257,115.076240,115.257147,115.113490,335.355739,334.522027,332.383278,336.757330,338.725140,335.304121,337.047378,335.869386
2025-05-01 05:45:00,120.681208,121.200433,115.208845,115.070564,115.687912,115.738543,116.016682,115.738092,334.680293,337.570755,339.238380,338.170510,337.583312,333.915822,336.708870,335.286646
2025-05-01 06:00:00,124.425283,124.269674,115.266168,115.358487,115.959475,116.035033,116.105392,115.854669,342.731321,346.133431,349.115717,351.296943,347.552315,342.784413,344.001817,343.009575
2025-05-01 06:15:00,125.203625,125.123735,114.023535,113.566043,113.803843,113.762808,113.634024,113.601828,356.464782,355.000377,352.113697,351.345613,347.531501,347.050209,345.732035,345.177675
2025-05-01 06:30:00,120.176070,120.351616,112.740643,112.860883,113.026060,113.335020,113.244780,113.575810,347.634528,347.987510,343.953603,342.645745,341.653214,341.103213,337.668631,337.893007
2025-05-01 06:45:00,114.980270,114.498301,109.699170,109.924724,110.409791,110.153735,110.519303,110.486378,336.685358,333.660492,329.961403,331.494804,332.117474,331.409946,330.919908,328.672201
2025-05-01 07:00:00,108.632924,108.255897,106.285698,106.801828,107.046702,107.207259,107.483383,107.350922,330.841433,328.785565,323.919544,321.724235,322.194537,324.857266,324.223736,322.681111
2025-05-01 07:15:00,107.465384,107.684493,106.451328,106.725476,106.978091,107.169391,107.311705,106.999749,321.188743,318.536423,315.662394,316.636155,316.300295,317.135793,316.845228,313.178877
2025-05-01 07:30:00,99.744821,99.807155,101.508163,101.788480,102.124135,102.031308,101.848191,101.319570,297.260718,295.031768,293.322710,296.637481,301.898738,302.419375,301.121064,299.823658
2025-05-01 07:45:00,96.537962,96.520806,97.583581,97.835447,98.094713,97.873973,97.333221,97.452237,298.540439,298.769622,300.422674,302.923615,308.485102,307.587659,309.528758,310.977040
2025-05-01 08:00:00,100.088332,100.306206,99.348973,99.461900,99.281519,98.612576,98.740028,98.488070,326.482948,327.832990,325.781145,325.932832,323.957634,320.445785,316.502067,313.237054
2025-05-01 08:15:00,100.340938,100.254365,99.005229,98.738382,98.227560,98.260751,98.262113,97.811307,327.188690,327.566884,327.190001,326.412537,324.577632,321.743496,316.678223,313.150528
2025-05-01 08:30:00,98.771821,98.910205,97.193599,96.659458,97.147130,97.052850,97.018179,96.864973,330.698115,330.778336,329.834398,330.243619,329.494635,327.065842,322.807756,321.300797
2025-05-01 08:45:00,107.955513,107.856545,104.389305,104.463963,104.510324,104.330530,104.503926,104.118475,343.575514,343.002099,342.932921,341.929291,337.292291,334.130723,333.008553,326.859051
2025-05-01 09:00:00,115.882139,115.374443,109.908625,109.997112,109.907843,109.862846,109.760933,109.477583,355.535027,354.679334,354.891373,352.839034,348.798903,348.761850,346.218691,342.396567
2025-05-01 09:15:00,114.602177,114.582670,109.802388,109.856844,109.880929,109.578167,109.614263,109.129551,348.234831,344.899134,340.328511,334.709654,334.429358,333.053814,330.409042,324.052671
